loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies
10000,36 months,6.99,308.73,A,A3,SALES,5 years,RENT,220000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,4.76,Nov-2003,8,1,6666,47.6,14,w,Individual,2,1
3000,36 months,11.48,98.9,B,B5,O&M Specialist III,5 years,MORTGAGE,75000,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,22.82,Apr-2004,13,0,11907,56.4,25,w,Individual,2,0
20000,36 months,9.8,643.47,B,B3,Director,10+ years,OWN,96000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,19.04,Mar-1996,9,0,8516,37.8,14,w,Individual,0,0
13875,60 months,11.99,308.58,C,C1,Purchasing Agent,10+ years,MORTGAGE,32500,Source Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,23.53,Mar-2001,7,0,10580,81.4,15,w,Individual,1,0
18000,36 months,6.49,551.61,A,A2,Dispatcher,10+ years,MORTGAGE,76000,Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,14.4,Nov-1994,20,0,19182,26.9,41,w,Individual,4,0
15225,36 months,8.49,480.55,B,B1,Teacher,3 years,OWN,40000,Not Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,21.21,May-1999,12,1,5278,31,30,w,Individual,0,0
16000,60 months,11.48,351.73,B,B5,Sr Sales Executive,6 years,RENT,65000,Not Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,21.16,Feb-2001,13,1,12669,53.9,18,w,Individual,2,1
21000,60 months,9.8,444.13,B,B3,manager,7 years,RENT,125000,Not Verified,Dec-2015,Charged Off,other,Other,6.2,May-2003,16,0,4994,3.2,21,w,Individual,0,0
13000,60 months,16.59,320.23,D,D2,Sr. Business Specialist,< 1 year,RENT,40000,Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,16.74,Sep-2000,6,0,18114,100.6,17,w,Individual,0,0
20000,36 months,7.91,625.9,A,A5,Community Manager,5 years,OWN,120000,Not Verified,Dec-2015,Fully Paid,major_purchase,Major purchase,4.99,Sep-1987,19,0,1801,2.5,31,w,Individual,2,0
31075,36 months,7.49,966.49,A,A4,Lieutenant,10+ years,RENT,70000,Source Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,17.18,Apr-1991,10,0,31640,48.6,28,w,Individual,3,0
18000,36 months,6.99,555.71,A,A3,Owner,10+ years,OWN,120000,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,14.88,Nov-1983,7,0,41266,63.5,13,w,Individual,3,0
5000,36 months,9.17,159.4,B,B2,,,MORTGAGE,74967,Verified,Dec-2015,Fully Paid,other,Other,33.39,Oct-1998,9,1,8770,58.5,35,w,Individual,7,1
4675,36 months,17.27,167.31,D,D3,Sales Associate,< 1 year,MORTGAGE,13000,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,34.07,Nov-1996,6,0,3394,44.1,23,w,Individual,0,0
6000,36 months,9.8,193.05,B,B3,Automation Engineer,4 years,MORTGAGE,85140,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,14.42,Mar-2012,11,0,11210,57.5,12,w,Individual,1,0
12000,60 months,12.88,272.31,C,C2,General / sales Manager,10+ years,MORTGAGE,90000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,12.62,Apr-2002,11,1,8275,30.6,30,w,Individual,4,1
13000,60 months,13.99,302.42,C,C4,Technician,10+ years,RENT,115000,Not Verified,Dec-2015,Fully Paid,home_improvement,Home improvement,9.9,Aug-2001,9,0,16440,45.2,21,w,Individual,2,0
1800,36 months,11.48,59.34,B,B5,Benefits Consultant,10+ years,RENT,50000,Not Verified,Dec-2015,Fully Paid,other,Other,20.38,Jan-2002,9,0,10140,95.7,15,w,Individual,0,0
4475,36 months,16.59,158.64,D,D2,Rph,10+ years,RENT,114000,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,8.36,Jul-2000,5,1,5153,44,40,w,Individual,1,1
14400,36 months,6.49,441.29,A,A2,Sales Engineer,8 years,MORTGAGE,70000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,16.32,Jul-2003,21,0,14446,74.8,26,w,Individual,1,0
5875,36 months,7.91,183.86,A,A5,Purchasing Assistant,5 years,RENT,70000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,9.53,Nov-2002,9,1,5814,45.1,18,w,Individual,0,0
20000,36 months,17.97,722.75,D,D4,Nurse Manager,7 years,MORTGAGE,180000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,25.1,Apr-1989,13,0,59126,92.1,30,w,Individual,2,0
10000,36 months,6.99,308.73,A,A3,Senior Electrical Engineer,5 years,MORTGAGE,115000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,23.26,Jun-2002,17,0,25824,72.9,39,w,Individual,5,0
34100,60 months,12.88,773.79,C,C2,RN,8 years,MORTGAGE,92892,Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,29.14,Nov-1994,13,0,21449,65.2,39,w,Individual,2,0
24000,36 months,11.48,791.2,B,B5,Lecturer and Curriculum Fellow,3 years,RENT,56457,Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,12.37,Dec-2004,5,0,22849,86.5,6,w,Individual,0,0
30000,60 months,18.49,769.83,D,D5,Division Manager,8 years,MORTGAGE,300000,Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,8.62,Aug-2000,10,2,11169,94.7,21,w,Individual,1,0
5200,36 months,10.78,169.71,B,B4,President,7 years,MORTGAGE,160000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,8,Nov-1987,6,0,8211,39.7,23,w,Individual,4,0
16800,36 months,11.99,557.93,C,C1,Project Coordinator,< 1 year,RENT,50000,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,5.76,Dec-2005,10,1,6920,40.7,30,w,Individual,0,0
10000,36 months,11.99,332.1,C,C1,Driver,7 years,RENT,40000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,10.95,Feb-2008,4,0,1252,27.2,7,w,Individual,0,0
22000,60 months,17.97,558.3,D,D4,Service technician,10+ years,MORTGAGE,55000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,22.34,Jul-2000,10,0,39840,74.3,25,w,Individual,1,0
28000,36 months,5.32,843.22,A,A1,VP Manufacturing,10+ years,MORTGAGE,144000,Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,29.88,Oct-1979,16,0,82471,69,29,w,Individual,1,0
7200,36 months,6.49,220.65,A,A2,Sales,10+ years,MORTGAGE,60000,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,20.68,Sep-2002,3,0,4727,67.5,22,w,Individual,1,0
18000,36 months,11.99,597.78,C,C1,Clerk Typist II,9 years,RENT,41000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,38.35,May-2009,12,0,18982,61.8,20,w,Individual,0,0
8400,36 months,7.49,261.26,A,A4,iron fitter,1 year,OWN,30000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,29.2,Aug-2007,9,0,4008,46,13,w,Individual,0,0
5000,36 months,14.85,172.96,C,C5,Social Worker Supervisor,2 years,RENT,67000,Source Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,31.08,Oct-1999,18,0,16036,57.6,38,w,Individual,0,0
5000,36 months,9.8,160.87,B,B3,Maintenance worker,10+ years,RENT,55000,Not Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,10.93,Jul-2003,6,0,6846,58,11,w,Individual,0,0
2400,36 months,11.48,79.12,B,B5,Chemical operator,5 years,MORTGAGE,60000,Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,24.14,Dec-2007,10,0,13450,62.6,22,w,Individual,1,0
15000,36 months,5.32,451.73,A,A1,Truck Driver,9 years,OWN,60000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,21.48,Apr-1988,8,0,12370,15.7,16,w,Individual,0,0
6075,36 months,9.17,193.67,B,B2,Senior Compliance Analyst,9 years,MORTGAGE,64400,Verified,Dec-2015,Fully Paid,debt_consolidation,,27.37,Dec-1999,17,0,5633,17.7,40,w,Individual,2,0
20000,36 months,10.78,652.7,B,B4,Analytical Research Scientist,2 years,RENT,55000,Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,22.58,Jul-2007,11,0,23324,62.9,22,w,Individual,0,0
6025,36 months,14.85,208.42,C,C5,Mgr. Quality Control,10+ years,RENT,110000,Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,21.32,Oct-1999,17,1,7047,38.4,37,w,Individual,2,1
8400,36 months,9.17,267.79,B,B2,Budget Services Coordinator,2 years,MORTGAGE,70000,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,12.96,Jan-1997,7,0,4595,60.5,36,w,Individual,2,0
15000,60 months,12.88,340.38,C,C2,Systems Software Specialist II,2 years,RENT,90000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,21.17,Aug-1999,14,0,18385,35,29,w,Individual,5,0
19200,60 months,8.49,393.83,B,B1,HR Assistant,10+ years,MORTGAGE,72000,Not Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,21.22,Mar-1994,15,0,19770,49.5,28,w,Individual,5,0
12000,36 months,15.77,420.53,D,D1,Payroll Manager,< 1 year,MORTGAGE,143000,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,3.61,May-2003,8,0,6198,30.2,12,w,Individual,2,0
28800,36 months,12.88,968.73,C,C2,Manager,8 years,MORTGAGE,60000,Not Verified,Dec-2015,Fully Paid,home_improvement,Home improvement,6.68,Jul-1996,9,0,25166,48,19,w,Individual,0,0
5000,36 months,5.32,150.58,A,A1,Orientation,10+ years,MORTGAGE,60000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,19.22,Nov-2001,7,0,5832,16.9,19,w,Individual,2,0
5000,36 months,12.88,168.19,C,C2,Bartender,7 years,MORTGAGE,60000,Not Verified,Dec-2015,Fully Paid,home_improvement,Home improvement,30.24,Jan-2008,10,0,11687,44.9,31,w,Individual,1,0
31500,60 months,11.99,700.55,C,C1,Lieutenant,10+ years,MORTGAGE,120000,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,10.55,Jun-1997,7,0,9374,25.5,20,w,Individual,2,0
24000,60 months,18.49,615.86,D,D5,Laboratory Manager,10+ years,RENT,165000,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,13.05,Mar-2000,13,1,15347,79.1,38,w,Individual,2,1
20000,60 months,12.88,453.84,C,C2,Division Manager,< 1 year,MORTGAGE,110000,Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,23.89,Feb-1987,18,0,28645,57,33,w,Individual,5,0
24000,60 months,10.78,519.19,B,B4,Division Director OBGYN,2 years,MORTGAGE,110000,Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,20.82,Jun-1983,15,0,26534,34.6,35,w,Individual,4,0
21850,60 months,17.27,546.21,D,D3,College professor,10+ years,MORTGAGE,65000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,12.74,Aug-1984,9,0,8964,97.2,32,w,Individual,4,0
9500,36 months,6.49,291.13,A,A2,Executive manager,10+ years,MORTGAGE,126500,Not Verified,Dec-2015,Fully Paid,home_improvement,Home improvement,8.67,May-1996,14,1,5951,18.8,47,w,Individual,8,1
20000,36 months,8.49,631.26,B,B1,registered nurse,10+ years,MORTGAGE,98000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,16.7,Sep-1995,11,0,16876,71.8,30,w,Individual,5,0
20000,60 months,13.44,459.58,C,C3,teacher,8 years,RENT,59000,Not Verified,Dec-2015,Current,credit_card,Credit card refinancing,26.54,Aug-1999,22,0,19488,57.5,35,w,Individual,2,0
20000,60 months,16.59,492.66,D,D2,IT Consultant,10+ years,MORTGAGE,135000,Source Verified,Dec-2015,Charged Off,home_improvement,Home improvement,26.92,Jan-1996,18,0,49831,78,30,w,Individual,1,0
20000,60 months,12.88,453.84,C,C2,Payroll Processor,< 1 year,RENT,65000,Not Verified,Dec-2015,Fully Paid,credit_card,,16.93,Oct-1995,16,0,17336,24.1,41,w,Individual,0,0
25200,60 months,13.44,579.07,C,C3,Information Assurance Manager,2 years,MORTGAGE,78000,Not Verified,Dec-2015,Current,credit_card,Credit card refinancing,20.46,Jun-1995,7,0,14762,63.4,17,w,Individual,2,0
12000,36 months,6.99,370.48,A,A3,Store Manager,10+ years,MORTGAGE,50000,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,20.12,Jan-2001,13,0,12242,28.9,21,w,Individual,1,0
10000,36 months,12.88,336.37,C,C2,Revenue tech,10+ years,MORTGAGE,65000,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,14.73,Dec-2003,11,1,8358,48.3,22,w,Individual,1,1
12000,60 months,9.8,253.79,B,B3,Business Office Asst,10+ years,MORTGAGE,36500,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,18.91,Apr-1980,10,0,5940,26.5,24,w,Individual,2,0
12000,60 months,7.91,242.81,A,A5,Registered Nurse,8 years,MORTGAGE,75000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,6.4,Aug-2003,4,0,6873,59.8,10,w,Individual,2,0
6425,36 months,15.77,225.16,D,D1,Laboratory Services Technician,1 year,RENT,41000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,2.87,Mar-2002,4,1,476,7,13,w,Individual,0,1
12700,36 months,17.97,458.95,D,D4,Accounting,3 years,RENT,32760,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,34.32,Sep-2004,21,0,11472,38.1,30,w,Individual,0,0
35000,36 months,13.99,1196.05,C,C4,Teacher,10+ years,OWN,121000,Source Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,9.23,Jul-1984,27,1,21876,34.8,87,w,Individual,0,1
16000,60 months,13.44,367.67,C,C3,Lead Medic/Critical Care Paramedic,5 years,MORTGAGE,110000,Source Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,15.82,Sep-1997,16,0,23911,58.9,28,w,Individual,2,0
15000,36 months,13.99,512.6,C,C4,Table Games Supervisor,2 years,OWN,48000,Source Verified,Dec-2015,Charged Off,credit_card,Credit card refinancing,31.29,Apr-2011,6,0,3044,41.7,11,w,Individual,0,0
20550,60 months,16.59,506.21,D,D2,Flight Attendant,10+ years,RENT,60000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,26.38,May-2002,12,0,34612,39.7,20,w,Individual,4,0
25000,36 months,6.99,771.82,A,A3,Program Analyst,10+ years,MORTGAGE,127000,Source Verified,Dec-2015,Fully Paid,home_improvement,Home improvement,25.48,Nov-1984,10,0,18828,39.1,26,w,Individual,3,0
14000,60 months,19.48,366.88,E,E2,foreman pipe fitter,10+ years,RENT,115000,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,13.36,Jan-2007,7,0,4916,48.2,11,f,Individual,0,0
16925,60 months,21.48,462.46,E,E5,Executive Assistant,10+ years,RENT,47000,Verified,Dec-2015,Charged Off,major_purchase,Major purchase,22.09,Feb-1998,10,1,6022,42,27,w,Individual,3,1
4700,36 months,13.44,159.36,C,C3,Phlebotomist,3 years,RENT,22000,Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,17.64,Jun-2007,12,0,4192,26.7,19,w,Individual,0,0
5000,36 months,8.49,157.82,B,B1,,,OWN,25000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,13.63,Jul-1987,17,1,7259,20.1,24,w,Individual,0,1
12000,36 months,14.85,415.11,C,C5,Business Project Manager,2 years,MORTGAGE,92500,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,17.66,Mar-2003,12,3,291,2.4,19,w,Individual,2,1
12000,36 months,9.8,386.09,B,B3,Hvac tech,10+ years,RENT,55000,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,12.61,Sep-2006,9,0,5116,63.2,13,w,Individual,0,0
15000,36 months,6.99,463.09,A,A3,Head of Corporate Physical Security,1 year,MORTGAGE,117000,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,4.66,Jun-1992,4,0,2976,20.4,13,w,Individual,1,0
4900,36 months,13.44,166.15,C,C3,Project Manager,2 years,MORTGAGE,123000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,25.6,Jan-1988,8,0,4792,64.8,16,w,Individual,2,0
18000,36 months,7.49,559.83,A,A4,Registered Nurse,< 1 year,MORTGAGE,70000,Source Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,16.82,Jan-2001,10,0,19100,87.2,31,w,Individual,4,0
18000,60 months,14.85,426.81,C,C5,administrative assistant,5 years,RENT,48000,Source Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,19.76,Jun-1999,15,1,3862,30.9,40,w,Individual,0,1
25000,36 months,17.27,894.69,D,D3,Account manager,10+ years,MORTGAGE,120000,Not Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,21.33,Nov-2004,17,1,35492,74.2,26,w,Individual,2,1
15000,36 months,12.88,504.55,C,C2,line leader,10+ years,MORTGAGE,50000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,13.92,Aug-2004,12,0,14435,40.1,34,w,Individual,4,0
3600,36 months,11.48,118.68,B,B5,Police Officer,1 year,MORTGAGE,97000,Source Verified,Dec-2015,Fully Paid,car,Car financing,18.93,Dec-2005,16,1,7696,59.7,30,w,Individual,2,1
33000,36 months,8.49,1041.58,B,B1,Systems Administrator II,5 years,MORTGAGE,92250,Verified,Dec-2015,Fully Paid,other,Other,20.68,Oct-2007,8,0,12502,36.6,18,w,Individual,4,0
14950,60 months,18.99,387.73,E,E1,electrical lead,10+ years,MORTGAGE,68000,Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,31.36,Jul-2005,11,1,5549,57,40,w,Individual,2,1
15000,36 months,12.88,504.55,C,C2,"Associate Director, Info. Management",10+ years,MORTGAGE,154000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,35.77,Feb-1995,20,0,19565,47,58,w,Individual,5,0
7000,36 months,16.59,248.15,D,D2,Vendor Auditor,2 years,MORTGAGE,30100,Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,25.68,Aug-1995,13,0,13663,64.8,30,w,Individual,5,0
15000,60 months,16.59,369.49,D,D2,Dispatcher II,10+ years,RENT,35300,Not Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,36.52,Jul-1984,9,0,20681,47,21,w,Individual,0,0
35000,36 months,12.88,1177.27,C,C2,Sr Software Eng,4 years,RENT,98000,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,18.93,Jul-1998,11,0,40023,40.4,24,w,Individual,1,0
8000,36 months,8.49,252.51,B,B1,,,MORTGAGE,58000,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,5.9,Dec-1977,11,0,42741,30.1,42,w,Individual,6,0
20000,36 months,11.99,664.2,C,C1,Driver,8 years,MORTGAGE,40000,Not Verified,Dec-2015,Charged Off,credit_card,Credit card refinancing,22.84,Oct-1999,18,0,13519,22.6,65,w,Individual,0,0
14375,60 months,19.89,379.98,E,E3,Sr Tax Accountant,< 1 year,MORTGAGE,80000,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,37.32,Oct-2003,15,0,27510,62.1,39,w,Individual,1,0
21000,36 months,9.17,669.46,B,B2,Paint and Body technician,< 1 year,MORTGAGE,85000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,10.51,Dec-2003,16,0,22910,41.6,30,w,Individual,3,0
3700,36 months,12.88,124.46,C,C2,warehouse reciever/ lead,10+ years,OWN,65000,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,20.81,Feb-1997,17,0,3971,8.1,34,w,Individual,0,0
8400,36 months,9.17,267.79,B,B2,Technical manager,10+ years,RENT,85000,Not Verified,Dec-2015,Charged Off,credit_card,Credit card refinancing,26.77,Aug-2003,23,2,14877,45.9,34,w,Individual,0,1
7200,36 months,11.48,237.36,B,B5,Teller,1 year,RENT,22000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,23.57,Aug-1999,10,0,1335,8.6,10,w,Individual,0,0
16800,36 months,8.49,530.26,B,B1,Director of Admissions,8 years,MORTGAGE,85400,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,17.27,Nov-1994,10,0,10223,43.5,21,w,Individual,2,0
9000,36 months,5.32,271.04,A,A1,Financial Advisor,7 years,MORTGAGE,150000,Not Verified,Dec-2015,Fully Paid,major_purchase,Major purchase,0.63,Feb-1987,4,0,4842,7,30,w,Individual,7,0
6000,36 months,13.99,205.04,C,C4,A/C Technician,6 years,MORTGAGE,43700,Verified,Dec-2015,Fully Paid,home_improvement,Home improvement,31.87,Feb-2005,20,0,2773,10.3,33,f,Individual,1,0
34000,36 months,10.78,1109.58,B,B4,Clinical Documentation Specialist,7 years,RENT,76497,Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,13.32,Sep-1995,4,0,34886,96.9,7,w,Individual,0,0
20000,60 months,11.99,444.79,C,C1,Police Officer,10+ years,MORTGAGE,67000,Not Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,6.52,Aug-1996,5,0,11761,94.1,17,w,Individual,5,0
16000,36 months,12.88,538.18,C,C2,SR. Analyst,10+ years,MORTGAGE,91000,Source Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,11.78,Nov-2003,14,0,9290,40.7,36,w,Individual,4,0
11200,36 months,8.49,353.51,B,B1,Equipment operator,10+ years,MORTGAGE,70000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,15.88,Dec-1996,9,0,21478,40.8,28,w,Individual,3,0
21000,60 months,18.49,538.88,D,D5,Commander /03,10+ years,MORTGAGE,95000,Not Verified,Dec-2015,Current,debt_consolidation,Debt consolidation,34.84,Jun-2001,19,0,24770,57.2,39,w,Individual,2,0
16000,60 months,12.88,363.07,C,C2,Teacher,10+ years,MORTGAGE,65000,Verified,Dec-2015,Current,credit_card,Credit card refinancing,39.56,Sep-1998,23,0,45488,72.8,41,w,Individual,0,0
6000,36 months,7.91,187.77,A,A5,Mortician,10+ years,MORTGAGE,50000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,19.42,Mar-1980,8,0,5049,24,20,w,Individual,2,0
9100,36 months,6.49,278.87,A,A2,Lean Manger,4 years,RENT,84000,Not Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,15.57,Sep-2006,12,0,8610,21.7,33,w,Individual,0,0
10000,36 months,6.99,308.73,A,A3,foodservice manager,10+ years,MORTGAGE,60000,Not Verified,Dec-2015,Fully Paid,other,Other,29.15,Jun-1995,18,0,7056,32.7,45,w,Individual,4,0
28000,60 months,10.78,605.73,B,B4,Process Facility Engineer,3 years,MORTGAGE,135000,Verified,Dec-2015,Late (31-120 days),debt_consolidation,Debt consolidation,26.15,May-1996,13,0,37679,60.4,30,w,Individual,3,0
30000,60 months,27.49,924.87,G,G2,Service Technian Lead,1 year,MORTGAGE,115000,Verified,Dec-2015,Charged Off,other,Other,17.73,Oct-2001,14,0,50634,58.7,20,w,Individual,4,0
8450,36 months,11.99,280.63,C,C1,Shipping & Receiving,10+ years,RENT,37380,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,15.09,Jan-2003,6,1,3855,37,14,w,Individual,2,1
8775,36 months,22.45,337.17,F,F1,Service Rep,10+ years,RENT,75000,Source Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,20.37,Sep-2006,14,1,7613,33.4,44,w,Individual,0,0
6000,36 months,5.32,180.69,A,A1,Engineering Manager,5 years,MORTGAGE,72000,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,17.08,Apr-1985,11,0,23785,87.8,22,w,Individual,5,0
10000,36 months,5.32,301.15,A,A1,letter carrier,10+ years,MORTGAGE,75000,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,5.17,Oct-2003,10,0,13435,20.4,30,w,Individual,3,0
10000,36 months,15.77,350.44,D,D1,General Manager,4 years,RENT,128000,Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,36.23,Dec-2002,18,0,23125,67.4,29,w,Individual,0,0
7200,36 months,17.27,257.67,D,D3,Part-time Supervisor,3 years,RENT,22000,Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,38.63,May-2001,10,0,20086,60.9,13,w,Individual,0,0
20000,60 months,14.85,474.23,C,C5,Accounting Manager,5 years,OWN,75000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,18.76,Apr-1992,16,0,59351,89,36,w,Individual,5,0
20000,36 months,9.17,637.58,B,B2,service advisor,2 years,RENT,95750,Source Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,19.14,Dec-1997,11,0,5248,27.9,22,w,Individual,0,0
5000,36 months,5.32,150.58,A,A1,Senior Buyer,8 years,MORTGAGE,130000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,10.44,Nov-1998,9,0,16709,25.1,27,w,Individual,4,0
15000,60 months,9.8,317.24,B,B3,Exec. Administrative,< 1 year,MORTGAGE,35179,Not Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,23.47,Jul-2000,19,0,12706,45.4,40,w,Individual,1,0
23950,36 months,17.97,865.49,D,D4,SALES MANAGER,3 years,RENT,160000,Verified,Dec-2015,Charged Off,credit_card,Credit card refinancing,18.41,Feb-1996,14,1,13883,59,46,w,Individual,7,1
15000,36 months,10.78,489.52,B,B4,Cheif Electronic Tech,10+ years,MORTGAGE,160000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,24.79,Aug-1998,13,0,38681,78.8,30,w,Individual,5,0
2250,36 months,8.49,71.02,B,B1,PTC Support,< 1 year,MORTGAGE,60000,Source Verified,Dec-2015,Fully Paid,credit_card,Credit card refinancing,16.88,Aug-2008,13,1,1725,59.5,23,w,Individual,1,0
14000,36 months,13.44,474.69,C,C3,manager,1 year,MORTGAGE,40000,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,37.39,Sep-1991,14,0,16328,63.8,20,w,Individual,2,0
14000,36 months,12.88,470.91,C,C2,Sales Account Rep,2 years,RENT,80000,Source Verified,Dec-2015,Charged Off,debt_consolidation,Debt consolidation,5.04,Dec-2004,11,0,7002,37.8,18,w,Individual,0,0
18000,36 months,7.49,559.83,A,A4,Sr. Designer,3 years,MORTGAGE,83000,Source Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,7.93,Nov-1988,17,0,13186,24.1,28,w,Individual,6,0
12000,36 months,5.32,361.38,A,A1,Executive Steward,3 years,MORTGAGE,72500,Not Verified,Dec-2015,Fully Paid,other,Other,2.71,Jul-1996,10,0,7804,26.9,19,w,Individual,2,0
